firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_q1,quarterly_revenue_2023_q2,quarterly_revenue_2023_q3,quarterly_revenue_2023_q4,quarterly_revenue_2024_q1,quarterly_revenue_2024_q2,quarterly_revenue_2024_q3,quarterly_revenue_2024_q4,quarterly_revenue_2025_q1,quarterly_revenue_2025_q2,quarterly_revenue_2025_q3,quarterly_revenue_2025_q4,tech_tools_list,tools_frequency_of_use,n_tools,tls_raw,tls_scaled
Chewy (CHWY),Tech,2011,21000000,180000000,220000000,-2.5,100,10920000,2780000000,2850000000,2920000000,2990000000,3060000000,3130000000,3200000000,3270000000,3340000000,3410000000,0,0,"AWS, Java, Kafka, React, Tableau, Jenkins",High,6,98.9010989,98901.0989
Bloom Energy (BE),Tech,2001,2800000,95000000,120000000,-8.9,5,1456000,275300000,290100000,305200000,320600000,336300000,352300000,368600000,385200000,402100000,419300000,0,0,"AWS, Python, MATLAB, SolidWorks, SAP, DataDog",Medium,6,391.4835165,391483.5165
Quanta Services (PWR),Tech,1997,48000000,350000000,400000000,5.8,10,24960000,5120000000,5250000000,5380000000,5510000000,5640000000,5770000000,5900000000,6030000000,6160000000,6290000000,0,0,"SAP, Oracle, AutoCAD, AWS, Tableau, GIS tools",Medium,6,84.13461538,84134.61538
SunPower (SPWR),Tech,1985,3000000,60000000,80000000,-4.2,30,1560000,430500000,445200000,460100000,475200000,490500000,506000000,521700000,537600000,553700000,570000000,0,0,"AWS, Python, Salesforce, SAP, Tableau, Jira",Medium,6,230.7692308,230769.2308
Enphase Energy (ENPH),Tech,2006,3800000,140000000,160000000,18.5,40,1976000,726100000,750200000,774800000,799900000,825500000,851600000,878200000,905300000,932900000,961000000,0,0,"AWS, Python, IoT Stack, PostgreSQL, React, GitHub",High,6,425.1012146,425101.2146
3D Systems (DDD),Tech,1986,2100000,35000000,50000000,-9.8,25,1092000,126400000,130200000,134100000,138100000,142200000,146400000,150700000,155100000,159600000,164200000,0,0,"SolidWorks, Python, AWS, SAP, GitLab, Jira",Medium,6,192.3076923,192307.6923
Stratasys (SSYS),Tech,1989,2400000,40000000,55000000,-6.5,30,1248000,162300000,167200000,172200000,177300000,182500000,187800000,193200000,198700000,204300000,210000000,0,0,"AWS, Python, CAD, SAP, Tableau, GitHub",Medium,6,192.3076923,192307.6923
Dexcom (DXCM),Tech,1999,8500000,200000000,250000000,15.3,20,4420000,815600000,840100000,865200000,890900000,917200000,944100000,971600000,999700000,1028400000,1057700000,0,0,"AWS, Python, React, PostgreSQL, DataDog, Jira",High,6,271.4932127,271493.2127
Insulet (PODD),Tech,2000,4200000,90000000,110000000,9.8,15,2184000,395400000,407300000,419500000,432000000,444800000,457900000,471300000,485000000,499000000,513300000,0,0,"AWS, Python, SAP, Salesforce, Tableau, GitHub",Medium,6,247.2527473,247252.7473
Twilio (TWLO),Tech,2008,7000000,180000000,220000000,-12,100,3640000,1020000000,1050000000,1080000000,1110000000,1140000000,1170000000,1200000000,1230000000,1260000000,1290000000,0,0,"AWS, Node.js, React, Kafka, DataDog, GitHub",High,6,296.7032967,296703.2967
Plug Power (PLUG),Clean Tech,1997,3400,45000000,120000000,-32.5,5,353600,210200000,198400000,185700000,222600000,120300000,135200000,148700000,167400000,184200000,202600000,0,0,"AWS, Python, MATLAB, CAD, SolidWorks",Medium,5,636.3122172,636312.2172
Sunrun (RUN),Clean Tech,2007,5200,65000000,180000000,-8,25,540800,590300000,612400000,632100000,651800000,525600000,543200000,560900000,579400000,598700000,618900000,0,0,"Salesforce, AWS, Python, Tableau, Jira",High,5,600.9615385,600961.5385
Sunnova (NOVA),Clean Tech,2012,2100,38000000,150000000,-22,30,218400,148600000,161200000,174500000,188700000,163400000,177200000,191600000,206900000,223200000,240500000,0,0,"AWS, Salesforce, Python, Tableau",Medium,4,695.970696,695970.696
Sunlight Financial (SUNL),FinTech,2014,320,12000000,45000000,-46,95,33280,22400000,24800000,27300000,30100000,15600000,17200000,18900000,20800000,22900000,25200000,0,0,"AWS, Python, React, PostgreSQL, FastAPI",High,5,1802.884615,1802884.615
Sunnova (NOVA),Clean Tech,2012,2100,38000000,150000000,-22,30,218400,148600000,161200000,174500000,188700000,163400000,177200000,191600000,206900000,223200000,240500000,0,0,"AWS, Salesforce, Python, Tableau",Medium,4,695.970696,695970.696
Palantir (PLTR),Enterprise Tech,2003,3800,180000000,250000000,5,40,395200,525200000,533300000,558200000,608400000,634300000,642800000,652400000,664300000,676500000,689100000,0,0,"Proprietary, Python, AWS, Spark, K8s",High,5,2277.327935,2277327.935
C3.ai (AI),Enterprise Tech,2009,850,95000000,120000000,-31,100,88400,72400000,72300000,73200000,78400000,66800000,67400000,72400000,73800000,75300000,76800000,0,0,"AWS, Python, TensorFlow, PostgreSQL",High,4,4298.642534,4298642.534
UiPath (PATH),Enterprise Tech,2005,4100,160000000,220000000,-9,100,426400,289700000,308500000,325900000,336500000,335100000,359600000,384600000,405400000,426800000,449000000,0,0,".NET, AWS, Azure, Python, React",High,5,1876.172608,1876172.608
SentinelOne (S),Cybersecurity,"2,013",2300,140000000,180000000,-43,100,239200,133400000,149400000,164200000,174200000,186300000,204300000,223900000,234700000,246400000,258800000,0,0,"AWS, Go, Python, K8s, PostgreSQL",High,5,2926.421405,2926421.405
CrowdStrike (CRWD),Cybersecurity,2011,8900,320000000,450000000,3,100,925600,692600000,731600000,786000000,845300000,921000000,945800000,971300000,1030900000,1051500000,1072500000,0,0,"AWS, Python, Go, K8s, Kafka",High,5,1728.60847,1728608.47
Snowflake (SNOW),Enterprise Tech,2012,6200,280000000,350000000,-17,100,644800,623600000,674000000,734200000,774700000,828800000,869400000,911800000,957400000,1004300000,1054500000,0,0,"Proprietary, AWS, Azure, Python",High,4,1736.972705,1736972.705
Datadog (DDOG),Enterprise Tech,2010,5400,220000000,280000000,8,100,561600,481700000,509500000,547500000,589600000,611600000,642200000,673400000,706100000,740400000,775400000,0,0,"AWS, Go, Python, Kafka, K8s",High,5,1958.689459,1958689.459
Okta (OKTA),Enterprise Tech,2009,6100,210000000,300000000,-15,100,634400,518000000,556000000,584000000,605000000,617000000,628000000,640000000,652000000,665000000,679000000,0,0,"AWS, Java, React, K8s, PostgreSQL",High,5,1655.107188,1655107.188
DocuSign (DOCU),Enterprise Tech,2003,7400,250000000,320000000,3,100,769600,661400000,687700000,700400000,712500000,659600000,687400000,716000000,740800000,766100000,792200000,0,0,"AWS, .NET, React, Kafka, K8s",High,5,1624.220374,1624220.374
Zoom (ZM),Enterprise Tech,2011,7200,240000000,280000000,12,100,748800,1105000000,1138900000,1141800000,1127500000,1125300000,1138800000,1152500000,1166500000,1180800000,1195300000,0,0,"AWS, Python, React, K8s, PostgreSQL",High,5,1602.564103,1602564.103
Roku (ROKU),Consumer Tech,2002,3600,180000000,220000000,-17,85,374400,740500000,847200000,912000000,865300000,941000000,846000000,761000000,832000000,860000000,890000000,0,0,"AWS, Python, React, Kafka, K8s",High,5,2403.846154,2403846.154
Unity (U),Enterprise Tech,2004,8000,290000000,350000000,-24,95,832000,500300000,533500000,544200000,609800000,486400000,447000000,457400000,403000000,410000000,418000000,0,0,"Proprietary, AWS, Python, Git",High,4,1394.230769,1394230.769
Roblox (RBLX),Consumer Tech,2004,2100,280000000,400000000,-19,100,218400,655300000,680800000,713200000,749900000,801300000,835100000,869600000,905000000,941200000,978800000,0,0,"AWS, Lua, C++, K8s, Redis",High,5,6410.25641,6410256.41
Twilio (TWLO),Enterprise Tech,2008,7000,180000000,220000000,-12,100,728000,1020000000,1050000000,1080000000,1110000000,1140000000,1170000000,1200000000,1230000000,1260000000,1290000000,0,0,"AWS, Node.js, React, Kafka",High,4,989.010989,989010.989
Bill.com (BILL),FinTech,2006,3200,120000000,180000000,-3,100,332800,272600000,295900000,319500000,318500000,296000000,299900000,304800000,310800000,316800000,323100000,0,0,"AWS, Python, React, PostgreSQL",High,4,1442.307692,1442307.692
