firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use,n_tools,tls_raw,tls_scaled
Shift4 Payments (FOUR),FinTech,1999,6300,376000000.0,120000000.0,8.0,70,13104000,550492964,583522542,618533894,655645928,694984684,736683765,780884791,827737878,877402151,930046280,985849057,1045000000,"AWS, .NET, payment gateway stack, POS hardware/software",Medium,4,114.77411477411478,114774.11477411477
Jack Henry & Associates (JKHY),FinTech,1976,7300,238000000.0,90000000.0,17.5,60,15184000,496017090,516684468,516684468,537351847,529801920,554636385,571192695,559912000,563173120,589571860,607171020,615372000,"AWS, Azure, SilverLake, Symitar, Banno Digital Platform",High,5,78.37197049525817,78371.97049525817
ServiceNow Inc (NOW),Enterprise Tech,2004,29187,2700000000.0,600000000.0,13.5,95,60708960,2133606557,2153278689,2153278689,2443801653,2603000000,2627000000,2627000000,2957000000,3088000000,3215000000,3407000000,3577000000,"AWS, Azure, GCP, Java, AngularJS, Now Platform",High,6,266.8469365971679,266846.93659716786
Workday Inc (WDAY),Enterprise Tech,2005,21000,1900000000.0,250000000.0,7.3,92,43680000,1920178006,1958581566,1997753197,2037708261,2078462426,2120031675,2162432308,2205680955,2249794574,2294790465,2340686275,2387500000,"AWS, GCP, Java, Workday Extend, Object Management Server",High,5,217.49084249084248,217490.84249084248
Salesforce Inc (CRM),Enterprise Tech,1999,76453,5761000000.0,658000000.0,19.0,90,159022240,8023873874,8365315315,8536036036,9218918919,8906500000,9285500000,9475000000,10233000000,9750000000,10140000000,10259000000,11001000000,"AWS, Java, Apex, Lightning Platform, Heroku, Agentforce AI",High,6,217.3658225415514,217365.8225415514
Adobe Inc (ADBE),Enterprise Tech,1982,31360,4290000000.0,179000000.0,30.0,88,65228800,4529045368,4642271502,4758328290,4877286497,4999218659,5124199126,5252304104,5383611707,5518201999,5656157049,5797560976,5942500000,"AWS, Azure, Creative Cloud, Firefly AI, C++, Python",High,6,394.6109693877551,394610.96938775515
Atlassian Corp (TEAM),Enterprise Tech,2002,13813,2670000000.0,80000000.0,-4.9,98,28731040,846891140,880766785,915997457,952637355,990742849,1030372563,1071587465,1114450964,1159029003,1205390163,1253605769,1303750000,"AWS, Java, Jira, Confluence, Kubernetes",High,5,464.6542554672577,464654.2554672577
HubSpot Inc (HUBS),Enterprise Tech,2006,8882,906000000.0,20000000.0,1.5,95,18474560,559876489,576672784,593972968,611792157,630145921,649050299,668521808,688577462,709234786,730511830,752427184,775000000,"AWS, HubSpot CRM Platform, React, Java",High,4,196.1616406561239,196161.6406561239
Oracle Corporation (ORCL),Enterprise Tech,1977,162000,9860000000.0,21220000000.0,21.7,86,336960000,12182191897,12364924775,12550398647,12738654627,12929734446,13123680463,13320535670,13520343705,13723148860,13928996093,14137931034,14350000000,"OCI, Java, Oracle Database, Exadata, AI infrastructure",High,5,146.30816714150046,146308.16714150045
Dropbox Inc (DBX),Enterprise Tech,2007,4149,732000000.0,21000000.0,20.2,100,8629920,622622179,622622179,625122669,630123651,631300000,634500000,638800000,643600000,624700000,625700000,634400000,640000000,"AWS, Python, Go, Rust, Dash AI",High,5,424.1059013293287,424105.90132932866
Box Inc (BOX),Enterprise Tech,2005,2170,265000000.0,15000000.0,7.4,98,4513600,236705269,241439374,246268162,251193525,256217395,261341743,266568578,271899950,277337949,282884708,288542402,294313250,"AWS, Box AI, Python, Java, Kubernetes",High,5,293.5572492024105,293557.2492024105
Dynatrace Inc (DT),Enterprise Tech,2005,5200,482000000.0,32000000.0,8.4,95,10816000,313422799,325959711,338998100,352558024,366660345,381326759,396579829,412443022,428940743,446098373,463942308,482500000,"AWS, Azure, GCP, Java, AI observability platform",High,5,222.8180473372781,222818.0473372781
RingCentral Inc (RNG),Enterprise Tech,1999,4429,329000000.0,20000000.0,1.7,100,9212320,551463198,558080757,564777726,571555059,578413719,585354684,592378940,599487487,606681337,613961513,621329051,628785000,"AWS, RingEX, RingSense AI, Java, Kubernetes",High,5,178.56522569776126,178565.22569776126
monday.com Ltd (MNDY),Enterprise Tech,2012,3155,231000000.0,15000000.0,9.6,100,6562400,167831000,175128000,182425000,204316000,237736190,241338254,251587302,241338254,278928000,302172000,317000000,333900000,"AWS, GCP, Kubernetes, AI work platform",High,4,140.80214555650372,140802.1455565037
Confluent Inc (CFLT),Enterprise Tech,2014,3600,350000000.0,25000000.0,-8.0,95,7488000,199490439,206472604,213699146,221178616,228919867,236932063,245224685,253807549,262690813,271884991,281400966,291250000,"AWS, Apache Kafka, Java, Scala, Kubernetes",High,5,233.70726495726495,233707.26495726497
GitLab Inc (GTLB),Enterprise Tech,2014,2200,306000000.0,5000000.0,-2.6,100,4576000,90925951,97290768,104101121,111388200,124261210,132959494,142266659,152225325,204682815,219010612,234341355,250745250,"AWS, GCP, Ruby on Rails, Go, Kubernetes",High,5,334.3531468531468,334353.14685314684
Procore Technologies (PCOR),Enterprise Tech,2002,4421,291000000.0,15000000.0,-2.5,95,9195680,226460177,234386283,242589803,251080446,259868261,268963651,278377378,288120587,298204807,308641975,319444444,330625000,"AWS, Ruby on Rails, React, Construction OS platform",High,4,126.58117724844709,126581.17724844709
Pinterest Inc (PINS),Consumer Tech,2010,5265,675000000.0,40000000.0,7.9,100,10951200,733305689,762637916,793143433,824869170,875185640,910193066,946600788,984464820,1013346582,1053880446,1096035663,1139877090,"AWS, GCP, Java, React Native, visual search AI",High,5,308.1854043392505,308185.4043392505
Snap Inc (SNAP),Consumer Tech,2011,5261,1186000000.0,110000000.0,-7.8,100,10942880,1127578766,1161406129,1196248313,1232135762,1312472342,1351846512,1392401908,1434173965,1452020562,1495581179,1540448614,1586662072,"AWS, GCP, Snap AR/Lens platform, Swift, Kotlin",High,5,541.9048733057476,541904.8733057476
Match Group Inc (MTCH),Consumer Tech,2009,2600,488000000.0,60000000.0,15.0,100,5408000,845206920,849432955,853680119,857948520,874063499,878433816,882825985,887240115,876028988,880409133,884811179,889235235,"AWS, GCP, iOS/Android native, Tinder/Hinge/Match platforms",Medium,4,360.94674556213016,360946.7455621302
Bumble Inc (BMBL),Consumer Tech,2014,560,174000000.0,15000000.0,-35.0,100,1164800,252746540,257801471,262957500,268216650,257507449,262657598,267910750,273268965,242057002,241644990,246200000,238814000,"AWS, iOS/Android native, matching algorithms",Medium,3,448.1456043956044,448145.6043956044
Duolingo Inc (DUOL),Consumer Tech,2011,900,229000000.0,15000000.0,12.0,100,1872000,115919353,125192901,135208333,146025000,163291292,176354595,190462963,205700000,227036021,245198903,264814815,286000000,"AWS, Python, Kotlin, Swift, AI/ML language models",High,5,611.6452991452992,611645.2991452992
Yelp Inc (YELP),Consumer Tech,2004,5168,314000000.0,25000000.0,11.0,100,10749440,330923497,334232732,337575059,340950810,349486529,352981394,356511208,360076320,362577077,366202848,369864876,373563525,"AWS, Python, Java, Yelp Assistant AI",Medium,4,116.84329602286259,116843.29602286259
TripAdvisor Inc (TRIP),Consumer Tech,2000,2590,303000000.0,30000000.0,4.5,100,5387200,440361495,442563303,444776119,447000000,451936993,454196678,456467662,458750000,465729076,468057721,470398010,472750000,"AWS, Java, metasearch algorithms, Viator/TheFork platforms",Medium,4,224.977724977725,224977.72497772498
Chegg Inc (CHGG),Consumer Tech,2005,700,75000000.0,8000000.0,-25.0,100,1456000,205850000,199674500,193684265,116791235,176525000,162403000,149410760,125661240,108387500,92129375,78309969,98173156,"AWS, Python, AI homework-help tools, CheggMate",Medium,4,206.04395604395606,206043.95604395604
