firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use
Enphase Energy (ENPH),Tech,2006,"3,800,000",$140M,$160M,18.50%,40%,"1,976,000","726,100,000","750,200,000","774,800,000","799,900,000","825,500,000","851,600,000","878,200,000","905,300,000","932,900,000","961,000,000",0,0,"AWS, Python, IoT Stack, PostgreSQL, React, GitHub",High
3D Systems (DDD),Tech,1986,"2,100,000",$35M,$50M,-9.80%,25%,"1,092,000","126,400,000","130,200,000","134,100,000","138,100,000","142,200,000","146,400,000","150,700,000","155,100,000","159,600,000","164,200,000",0,0,"SolidWorks, Python, AWS, SAP, GitLab, Jira",Medium
Stratasys (SSYS),Tech,1989,"2,400,000",$40M,$55M,-6.50%,30%,"1,248,000","162,300,000","167,200,000","172,200,000","177,300,000","182,500,000","187,800,000","193,200,000","198,700,000","204,300,000","210,000,000",0,0,"AWS, Python, CAD, SAP, Tableau, GitHub",Medium
Dexcom (DXCM),Tech,1999,"8,500,000",$200M,$250M,15.30%,20%,"4,420,000","815,600,000","840,100,000","865,200,000","890,900,000","917,200,000","944,100,000","971,600,000","999,700,000","1,028,400,000","1,057,700,000",0,0,"AWS, Python, React, PostgreSQL, DataDog, Jira",High
Insulet (PODD),Tech,2000,"4,200,000",$90M,$110M,9.80%,15%,"2,184,000","395,400,000","407,300,000","419,500,000","432,000,000","444,800,000","457,900,000","471,300,000","485,000,000","499,000,000","513,300,000",0,0,"AWS, Python, SAP, Salesforce, Tableau, GitHub",Medium
Twilio (TWLO),Tech,2008,"7,000,000",$180M,$220M,-12.00%,100%,"3,640,000","1,020,000,000","1,050,000,000","1,080,000,000","1,110,000,000","1,140,000,000","1,170,000,000","1,200,000,000","1,230,000,000","1,260,000,000","1,290,000,000",0,0,"AWS, Node.js, React, Kafka, DataDog, GitHub",High
Momentus (MNTS),Tech,2017,120,$8M,$15M,-85.00%,0%,"62,400",0,0,0,0,"500,000","800,000","1,200,000","1,500,000","2,000,000","2,500,000","3,200,000","AWS, Python, MATLAB, SolidWorks, COMSOL",Medium,
Redwire (RDW),Tech,2020,600,$12M,$25M,-12.50%,5%,"312,000","48,200,000","50,100,000","52,300,000","54,500,000","56,800,000","59,200,000","61,700,000","64,300,000","67,000,000","69,800,000","72,700,000","AWS, Python, CAD, 3D Printing SW, LabVIEW",Medium,
Velo3D (VLD),Tech,2014,350,$10M,$30M,-28.40%,10%,"182,000","18,500,000","19,800,000","21,200,000","22,700,000","24,300,000","26,000,000","27,800,000","29,700,000","31,700,000","33,800,000","36,000,000","Proprietary SW, Python, AWS, GitLab",High,
Beam Global (BEEM),Tech,2006,180,$5M,$8M,-8.90%,15%,"93,600","12,400,000","13,100,000","13,900,000","14,800,000","15,700,000","16,700,000","17,700,000","18,800,000","19,900,000","21,100,000","22,400,000","AutoCAD, SolidWorks, AWS IoT, Python",Low-Medium,
Arcimoto (FUV),Tech,2007,220,$6M,$12M,-65.30%,20%,"114,400","1,200,000","1,500,000","1,800,000","2,100,000","2,500,000","2,900,000","3,400,000","3,900,000","4,500,000","5,200,000","6,000,000","SolidWorks, AutoCAD, AWS, Python",Medium,
REE Automotive (REE),Tech,2011,320,$15M,$40M,-95.00%,5%,"166,400",0,0,"500,000","1,200,000","2,500,000","4,200,000","6,500,000","9,000,000","12,000,000","15,500,000","19,500,000","AWS, Python, CAD, Simulation SW",Medium,
AEye (LIDR),Tech,2013,150,$7M,$20M,-150.00%,0%,"78,000","400,000","600,000","900,000","1,200,000","1,600,000","2,100,000","2,700,000","3,400,000","4,200,000","5,100,000","6,100,000","C++, Python, AWS, ROS, Git",High,
Energous (WATT),Tech,2012,65,$4M,$12M,-220.00%,5%,"33,800","200,000","300,000","450,000","600,000","800,000","1,100,000","1,500,000","2,000,000","2,600,000","3,300,000","4,100,000","Python, Cadence, AWS, MATLAB",Medium,
AeroVironment (AVAV),Tech,1971,"1,100",$25M,$35M,8.20%,30%,"572,000","140,200,000","145,500,000","151,300,000","157,400,000","163,700,000","170,200,000","177,000,000","184,100,000","191,500,000","199,200,000","207,200,000","AWS, Python, C++, CAD, Simulation SW",Medium,
Nano Dimension (NNDM),Tech,2012,420,$18M,$60M,-42.50%,15%,"218,400","12,500,000","13,800,000","15,200,000","16,700,000","18,400,000","20,200,000","22,200,000","24,400,000","26,800,000","29,500,000","32,500,000","Proprietary SW, Python, AWS, GitLab",High,
Desktop Health,Tech,2020,85,$3M,$10M,-55.00%,25%,"44,200","1,800,000","2,200,000","2,700,000","3,300,000","4,000,000","4,800,000","5,700,000","6,700,000","7,800,000","9,000,000","10,400,000","SolidWorks, Python, AWS, Medical SW",Medium,
QuantumScape (QS),Tech,2010,500,$35M,$200M,-300.00%,0%,"260,000",0,0,0,0,0,0,0,0,"1,000,000","3,000,000","7,000,000","AWS, Python, Simulation SW, Lab Data Systems",High,
Romeo Power (RMO),Tech,2016,280,$12M,$45M,-78.00%,5%,"145,600","8,500,000","9,200,000","9,900,000","10,700,000","11,600,000","12,500,000","13,500,000","14,600,000","15,800,000","17,100,000","18,500,000","Python, MATLAB, AWS, Battery SW",Medium,
MicroVision (MVIS),Tech,1993,110,$5M,$8M,-120.00%,2%,"57,200","1,100,000","1,300,000","1,600,000","2,000,000","2,500,000","3,100,000","3,800,000","4,600,000","5,500,000","6,500,000","7,600,000","C++, Python, AWS, Optical Design SW",High,
Velodyne Lidar (VLDR),Tech,1983,400,$15M,$30M,-45.60%,10%,"208,000","15,200,000","16,100,000","17,100,000","18,200,000","19,400,000","20,700,000","22,100,000","23,600,000","25,200,000","26,900,000","28,700,000","C++, Python, AWS, ROS, Git",High,
Ouster (OUST),Tech,2015,320,$12M,$25M,-52.30%,12%,"166,400","10,500,000","11,200,000","11,900,000","12,700,000","13,600,000","14,600,000","15,700,000","16,900,000","18,200,000","19,600,000","21,100,000","C++, Python, AWS, ROS",High,
Satellogic (SATL),Tech,2010,260,$10M,$35M,-68.90%,0%,"135,200","2,500,000","3,000,000","3,600,000","4,300,000","5,100,000","6,000,000","7,000,000","8,100,000","9,300,000","10,600,000","12,000,000","Python, AWS, GIS, Satellite Ops SW",Medium,
Astra Space (ASTR),Tech,2016,300,$20M,$50M,-180.00%,0%,"156,000",0,0,"500,000","1,200,000","2,500,000","4,200,000","6,500,000","9,000,000","12,000,000","15,500,000","19,500,000","Python, AWS, CFD, Rocket Design SW",High,
Planet Labs (PL),Tech,2010,900,$30M,$80M,-32.50%,30%,"468,000","48,500,000","50,800,000","53,200,000","55,700,000","58,300,000","61,000,000","63,800,000","66,700,000","69,700,000","72,800,000","76,000,000","Python, AWS, Google Cloud, GIS, Jupyter",High,
Spire Global (SPIR),Tech,2012,450,$18M,$40M,-48.20%,25%,"234,000","22,300,000","23,500,000","24,800,000","26,200,000","27,700,000","29,300,000","31,000,000","32,800,000","34,700,000","36,700,000","38,800,000","Python, AWS, Satellite Ops, Data Pipelines",High,
