firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use
Enphase Energy (ENPH),Tech,2006,"3,800,000",$140M,$160M,18.50%,40%,"1,976,000","726,100,000","750,200,000","774,800,000","799,900,000","825,500,000","851,600,000","878,200,000","905,300,000","932,900,000","961,000,000",0,0,"AWS, Python, IoT Stack, PostgreSQL, React, GitHub",High
3D Systems (DDD),Tech,1986,"2,100,000",$35M,$50M,-9.80%,25%,"1,092,000","126,400,000","130,200,000","134,100,000","138,100,000","142,200,000","146,400,000","150,700,000","155,100,000","159,600,000","164,200,000",0,0,"SolidWorks, Python, AWS, SAP, GitLab, Jira",Medium
Stratasys (SSYS),Tech,1989,"2,400,000",$40M,$55M,-6.50%,30%,"1,248,000","162,300,000","167,200,000","172,200,000","177,300,000","182,500,000","187,800,000","193,200,000","198,700,000","204,300,000","210,000,000",0,0,"AWS, Python, CAD, SAP, Tableau, GitHub",Medium
Dexcom (DXCM),Tech,1999,"8,500,000",$200M,$250M,15.30%,20%,"4,420,000","815,600,000","840,100,000","865,200,000","890,900,000","917,200,000","944,100,000","971,600,000","999,700,000","1,028,400,000","1,057,700,000",0,0,"AWS, Python, React, PostgreSQL, DataDog, Jira",High
Insulet (PODD),Tech,2000,"4,200,000",$90M,$110M,9.80%,15%,"2,184,000","395,400,000","407,300,000","419,500,000","432,000,000","444,800,000","457,900,000","471,300,000","485,000,000","499,000,000","513,300,000",0,0,"AWS, Python, SAP, Salesforce, Tableau, GitHub",Medium
Twilio (TWLO),Tech,2008,"7,000,000",$180M,$220M,-12.00%,100%,"3,640,000","1,020,000,000","1,050,000,000","1,080,000,000","1,110,000,000","1,140,000,000","1,170,000,000","1,200,000,000","1,230,000,000","1,260,000,000","1,290,000,000",0,0,"AWS, Node.js, React, Kafka, DataDog, GitHub",High
Plug Power (PLUG),Clean Tech,1997,"3,400",$45M,$120M,-32.50%,5%,"353,600","210,200,000","198,400,000","185,700,000","222,600,000","120,300,000","135,200,000","148,700,000","167,400,000","184,200,000","202,600,000",0,0,"AWS, Python, MATLAB, CAD, SolidWorks",Medium
Sunrun (RUN),Clean Tech,2007,"5,200",$65M,$180M,-8%,25%,"540,800","590,300,000","612,400,000","632,100,000","651,800,000","525,600,000","543,200,000","560,900,000","579,400,000","598,700,000","618,900,000",0,0,"Salesforce, AWS, Python, Tableau, Jira",High
Sunnova (NOVA),Clean Tech,2012,"2,100",$38M,$150M,-22%,30%,"218,400","148,600,000","161,200,000","174,500,000","188,700,000","163,400,000","177,200,000","191,600,000","206,900,000","223,200,000","240,500,000",0,0,"AWS, Salesforce, Python, Tableau",Medium
Sunlight Financial (SUNL),FinTech,2014,320,$12M,$45M,-46%,95%,"33,280","22,400,000","24,800,000","27,300,000","30,100,000","15,600,000","17,200,000","18,900,000","20,800,000","22,900,000","25,200,000",0,0,"AWS, Python, React, PostgreSQL, FastAPI",High
Sunnova (NOVA),Clean Tech,2012,"2,100",$38M,$150M,-22%,30%,"218,400","148,600,000","161,200,000","174,500,000","188,700,000","163,400,000","177,200,000","191,600,000","206,900,000","223,200,000","240,500,000",0,0,"AWS, Salesforce, Python, Tableau",Medium
Palantir (PLTR),Enterprise Tech,2003,"3,800",$180M,$250M,5%,40%,"395,200","525,200,000","533,300,000","558,200,000","608,400,000","634,300,000","642,800,000","652,400,000","664,300,000","676,500,000","689,100,000",0,0,"Proprietary, Python, AWS, Spark, K8s",High
C3.ai (AI),Enterprise Tech,2009,850,$95M,$120M,-31%,100%,"88,400","72,400,000","72,300,000","73,200,000","78,400,000","66,800,000","67,400,000","72,400,000","73,800,000","75,300,000","76,800,000",0,0,"AWS, Python, TensorFlow, PostgreSQL",High
UiPath (PATH),Enterprise Tech,2005,"4,100",$160M,$220M,-9%,100%,"426,400","289,700,000","308,500,000","325,900,000","336,500,000","335,100,000","359,600,000","384,600,000","405,400,000","426,800,000","449,000,000",0,0,".NET, AWS, Azure, Python, React",High
SentinelOne (S),Cybersecurity,"2,013","2,300",$140M,$180M,-43%,100%,"239,200","133,400,000","149,400,000","164,200,000","174,200,000","186,300,000","204,300,000","223,900,000","234,700,000","246,400,000","258,800,000",0,0,"AWS, Go, Python, K8s, PostgreSQL",High
CrowdStrike (CRWD),Cybersecurity,2011,"8,900",$320M,$450M,3%,100%,"925,600","692,600,000","731,600,000","786,000,000","845,300,000","921,000,000","945,800,000","971,300,000","1,030,900,000","1,051,500,000","1,072,500,000",0,0,"AWS, Python, Go, K8s, Kafka",High
Snowflake (SNOW),Enterprise Tech,2012,"6,200",$280M,$350M,-17%,100%,"644,800","623,600,000","674,000,000","734,200,000","774,700,000","828,800,000","869,400,000","911,800,000","957,400,000","1,004,300,000","1,054,500,000",0,0,"Proprietary, AWS, Azure, Python",High
Datadog (DDOG),Enterprise Tech,2010,"5,400",$220M,$280M,8%,100%,"561,600","481,700,000","509,500,000","547,500,000","589,600,000","611,600,000","642,200,000","673,400,000","706,100,000","740,400,000","775,400,000",0,0,"AWS, Go, Python, Kafka, K8s",High
Okta (OKTA),Enterprise Tech,2009,"6,100",$210M,$300M,-15%,100%,"634,400","518,000,000","556,000,000","584,000,000","605,000,000","617,000,000","628,000,000","640,000,000","652,000,000","665,000,000","679,000,000",0,0,"AWS, Java, React, K8s, PostgreSQL",High
DocuSign (DOCU),Enterprise Tech,2003,"7,400",$250M,$320M,3%,100%,"769,600","661,400,000","687,700,000","700,400,000","712,500,000","659,600,000","687,400,000","716,000,000","740,800,000","766,100,000","792,200,000",0,0,"AWS, .NET, React, Kafka, K8s",High
Zoom (ZM),Enterprise Tech,2011,"7,200",$240M,$280M,12%,100%,"748,800","1,105,000,000","1,138,900,000","1,141,800,000","1,127,500,000","1,125,300,000","1,138,800,000","1,152,500,000","1,166,500,000","1,180,800,000","1,195,300,000",0,0,"AWS, Python, React, K8s, PostgreSQL",High
Roku (ROKU),Consumer Tech,2002,"3,600",$180M,$220M,-17%,85%,"374,400","740,500,000","847,200,000","912,000,000","865,300,000","941,000,000","846,000,000","761,000,000","832,000,000","860,000,000","890,000,000",0,0,"AWS, Python, React, Kafka, K8s",High
Unity (U),Enterprise Tech,2004,"8,000",$290M,$350M,-24%,95%,"832,000","500,300,000","533,500,000","544,200,000","609,800,000","486,400,000","447,000,000","457,400,000","403,000,000","410,000,000","418,000,000",0,0,"Proprietary, AWS, Python, Git",High
Roblox (RBLX),Consumer Tech,2004,"2,100",$280M,$400M,-19%,100%,"218,400","655,300,000","680,800,000","713,200,000","749,900,000","801,300,000","835,100,000","869,600,000","905,000,000","941,200,000","978,800,000",0,0,"AWS, Lua, C++, K8s, Redis",High
Twilio (TWLO),Enterprise Tech,2008,"7,000",$180M,$220M,-12%,100%,"728,000","1,020,000,000","1,050,000,000","1,080,000,000","1,110,000,000","1,140,000,000","1,170,000,000","1,200,000,000","1,230,000,000","1,260,000,000","1,290,000,000",0,0,"AWS, Node.js, React, Kafka",High
Bill.com (BILL),FinTech,2006,"3,200",$120M,$180M,-3%,100%,"332,800","272,600,000","295,900,000","319,500,000","318,500,000","296,000,000","299,900,000","304,800,000","310,800,000","316,800,000","323,100,000",0,0,"AWS, Python, React, PostgreSQL",High
