firm_llc_id,sector,founded_year,employees_fte,annual_tech_spend,capital_invested,profit_margin_percent,online_revenue_share_percent,total_quarterly_labor_hours,quarterly_revenue_2023_Q1,quarterly_revenue_2023_Q2,quarterly_revenue_2023_Q3,quarterly_revenue_2023_Q4,quarterly_revenue_2024_Q1,quarterly_revenue_2024_Q2,quarterly_revenue_2024_Q3,quarterly_revenue_2024_Q4,quarterly_revenue_2025_Q1,quarterly_revenue_2025_Q2,quarterly_revenue_2025_Q3,quarterly_revenue_2025_Q4,tech_tools_list,tools_frequency_of_use
Enphase Energy (ENPH),Tech,2006,"3,800,000",$140M,$160M,18.50%,40%,"1,976,000","726,100,000","750,200,000","774,800,000","799,900,000","825,500,000","851,600,000","878,200,000","905,300,000","932,900,000","961,000,000",0,0,"AWS, Python, IoT Stack, PostgreSQL, React, GitHub",High
3D Systems (DDD),Tech,1986,"2,100,000",$35M,$50M,-9.80%,25%,"1,092,000","126,400,000","130,200,000","134,100,000","138,100,000","142,200,000","146,400,000","150,700,000","155,100,000","159,600,000","164,200,000",0,0,"SolidWorks, Python, AWS, SAP, GitLab, Jira",Medium
Stratasys (SSYS),Tech,1989,"2,400,000",$40M,$55M,-6.50%,30%,"1,248,000","162,300,000","167,200,000","172,200,000","177,300,000","182,500,000","187,800,000","193,200,000","198,700,000","204,300,000","210,000,000",0,0,"AWS, Python, CAD, SAP, Tableau, GitHub",Medium
Dexcom (DXCM),Tech,1999,"8,500,000",$200M,$250M,15.30%,20%,"4,420,000","815,600,000","840,100,000","865,200,000","890,900,000","917,200,000","944,100,000","971,600,000","999,700,000","1,028,400,000","1,057,700,000",0,0,"AWS, Python, React, PostgreSQL, DataDog, Jira",High
Insulet (PODD),Tech,2000,"4,200,000",$90M,$110M,9.80%,15%,"2,184,000","395,400,000","407,300,000","419,500,000","432,000,000","444,800,000","457,900,000","471,300,000","485,000,000","499,000,000","513,300,000",0,0,"AWS, Python, SAP, Salesforce, Tableau, GitHub",Medium
Twilio (TWLO),Tech,2008,"7,000,000",$180M,$220M,-12.00%,100%,"3,640,000","1,020,000,000","1,050,000,000","1,080,000,000","1,110,000,000","1,140,000,000","1,170,000,000","1,200,000,000","1,230,000,000","1,260,000,000","1,290,000,000",0,0,"AWS, Node.js, React, Kafka, DataDog, GitHub",High
Plug Power (PLUG),Clean Tech,1997,"3,400",$45M,$120M,-32.50%,5%,"353,600","210,200,000","198,400,000","185,700,000","222,600,000","120,300,000","135,200,000","148,700,000","167,400,000","184,200,000","202,600,000",0,0,"AWS, Python, MATLAB, CAD, SolidWorks",Medium
Sunrun (RUN),Clean Tech,2007,"5,200",$65M,$180M,-8%,25%,"540,800","590,300,000","612,400,000","632,100,000","651,800,000","525,600,000","543,200,000","560,900,000","579,400,000","598,700,000","618,900,000",0,0,"Salesforce, AWS, Python, Tableau, Jira",High
Sunnova (NOVA),Clean Tech,2012,"2,100",$38M,$150M,-22%,30%,"218,400","148,600,000","161,200,000","174,500,000","188,700,000","163,400,000","177,200,000","191,600,000","206,900,000","223,200,000","240,500,000",0,0,"AWS, Salesforce, Python, Tableau",Medium
Sunlight Financial (SUNL),FinTech,2014,320,$12M,$45M,-46%,95%,"33,280","22,400,000","24,800,000","27,300,000","30,100,000","15,600,000","17,200,000","18,900,000","20,800,000","22,900,000","25,200,000",0,0,"AWS, Python, React, PostgreSQL, FastAPI",High
Sunnova (NOVA),Clean Tech,2012,"2,100",$38M,$150M,-22%,30%,"218,400","148,600,000","161,200,000","174,500,000","188,700,000","163,400,000","177,200,000","191,600,000","206,900,000","223,200,000","240,500,000",0,0,"AWS, Salesforce, Python, Tableau",Medium
Palantir (PLTR),Enterprise Tech,2003,"3,800",$180M,$250M,5%,40%,"395,200","525,200,000","533,300,000","558,200,000","608,400,000","634,300,000","642,800,000","652,400,000","664,300,000","676,500,000","689,100,000",0,0,"Proprietary, Python, AWS, Spark, K8s",High
C3.ai (AI),Enterprise Tech,2009,850,$95M,$120M,-31%,100%,"88,400","72,400,000","72,300,000","73,200,000","78,400,000","66,800,000","67,400,000","72,400,000","73,800,000","75,300,000","76,800,000",0,0,"AWS, Python, TensorFlow, PostgreSQL",High
UiPath (PATH),Enterprise Tech,"2,005","4,100",$160M,$220M,-9%,100%,"426,400","289,700,000","308,500,000","325,900,000","336,500,000","335,100,000","359,600,000","384,600,000","405,400,000","426,800,000","449,000,000",0,0,".NET, AWS, Azure, Python, React",High
SentinelOne (S),Cybersecurity,"2,013","2,300",$140M,$180M,-43%,100%,"239,200","133,400,000","149,400,000","164,200,000","174,200,000","186,300,000","204,300,000","223,900,000","234,700,000","246,400,000","258,800,000",0,0,"AWS, Go, Python, K8s, PostgreSQL",High
CrowdStrike (CRWD),Cybersecurity,2011,"8,900",$320M,$450M,3%,100%,"925,600","692,600,000","731,600,000","786,000,000","845,300,000","921,000,000","945,800,000","971,300,000","1,030,900,000","1,051,500,000","1,072,500,000",0,0,"AWS, Python, Go, K8s, Kafka",High
Snowflake (SNOW),Enterprise Tech,2012,"6,200",$280M,$350M,-17%,100%,"644,800","623,600,000","674,000,000","734,200,000","774,700,000","828,800,000","869,400,000","911,800,000","957,400,000","1,004,300,000","1,054,500,000",0,0,"Proprietary, AWS, Azure, Python",High
Datadog (DDOG),Enterprise Tech,2010,"5,400",$220M,$280M,8%,100%,"561,600","481,700,000","509,500,000","547,500,000","589,600,000","611,600,000","642,200,000","673,400,000","706,100,000","740,400,000","775,400,000",0,0,"AWS, Go, Python, Kafka, K8s",High
Okta (OKTA),Enterprise Tech,2009,"6,100",$210M,$300M,-15%,100%,"634,400","518,000,000","556,000,000","584,000,000","605,000,000","617,000,000","628,000,000","640,000,000","652,000,000","665,000,000","679,000,000",0,0,"AWS, Java, React, K8s, PostgreSQL",High
DocuSign (DOCU),Enterprise Tech,2003,"7,400",$250M,$320M,3%,100%,"769,600","661,400,000","687,700,000","700,400,000","712,500,000","659,600,000","687,400,000","716,000,000","740,800,000","766,100,000","792,200,000",0,0,"AWS, .NET, React, Kafka, K8s",High
Zoom (ZM),Enterprise Tech,2011,"7,200",$240M,$280M,12%,100%,"748,800","1,105,000,000","1,138,900,000","1,141,800,000","1,127,500,000","1,125,300,000","1,138,800,000","1,152,500,000","1,166,500,000","1,180,800,000","1,195,300,000",0,0,"AWS, Python, React, K8s, PostgreSQL",High
Roku (ROKU),Consumer Tech,2002,"3,600",$180M,$220M,-17%,85%,"374,400","740,500,000","847,200,000","912,000,000","865,300,000","941,000,000","846,000,000","761,000,000","832,000,000","860,000,000","890,000,000",0,0,"AWS, Python, React, Kafka, K8s",High
Unity (U),Enterprise Tech,2004,"8,000",$290M,$350M,-24%,95%,"832,000","500,300,000","533,500,000","544,200,000","609,800,000","486,400,000","447,000,000","457,400,000","403,000,000","410,000,000","418,000,000",0,0,"Proprietary, AWS, Python, Git",High
Roblox (RBLX),Consumer Tech,2004,"2,100",$280M,$400M,-19%,100%,"218,400","655,300,000","680,800,000","713,200,000","749,900,000","801,300,000","835,100,000","869,600,000","905,000,000","941,200,000","978,800,000",0,0,"AWS, Lua, C++, K8s, Redis",High
Twilio (TWLO),Enterprise Tech,2008,"7,000",$180M,$220M,-12%,100%,"728,000","1,020,000,000","1,050,000,000","1,080,000,000","1,110,000,000","1,140,000,000","1,170,000,000","1,200,000,000","1,230,000,000","1,260,000,000","1,290,000,000",0,0,"AWS, Node.js, React, Kafka",High
Bill.com (BILL),FinTech,2006,"3,200",$120M,$180M,-3%,100%,"332,800","272,600,000","295,900,000","319,500,000","318,500,000","296,000,000","299,900,000","304,800,000","310,800,000","316,800,000","323,100,000",0,0,"AWS, Python, React, PostgreSQL",High
Zscaler (ZS),Cybersecurity,2007,8696,$899M,$230M,-2.50%,100%,"18,087,680","509,112,714","521,840,532","534,886,546","548,258,709","561,965,177","576,014,306","590,414,664","605,175,031","620,304,406","635,812,017","651,707,317","668,000,000","AWS, Python, Kubernetes, Go, Zero Trust Exchange",High
CyberArk Software (CYBR),Cybersecurity,1999,3793,$280M,$60M,-7.20%,90%,"7,889,440","234,786,915","241,830,522","249,085,438","256,558,001","264,254,741","272,182,383","280,347,855","288,758,291","297,421,039","306,343,670","315,533,981","325,000,000","AWS, Databricks, PostgreSQL, Hadoop, Venafi",High
Check Point Software (CHKP),Cybersecurity,1993,8300,$464M,$30M,30.50%,85%,"17,264,000","548,909,524","559,887,715","571,085,469","582,507,178","594,157,322","606,040,468","618,161,278","630,524,503","643,134,993","655,997,693","669,117,647","682,500,000","AWS, Azure GCP, Harmony SASE, Python",High
Akamai Technologies (AKAM),Cybersecurity,1998,11161,$906M,$900M,11.00%,100%,"23,214,880","828,390,930","844,958,749","861,857,924","879,095,082","896,676,984","914,610,524","932,902,734","951,560,789","970,592,005","990,003,845","1,009,803,922","1,030,000,000","AWS, Linode Cloud, Kubernetes, CDN edge infra",High
F5 Inc (FFIV),Cybersecurity,1996,6462,$556M,$43M,22.40%,70%,"13,440,960","620,911,173","633,329,396","645,995,984","658,915,904","672,094,222","685,536,106","699,246,828","713,231,765","727,496,400","742,046,328","756,887,255","772,025,000","AWS, Azure, NGINX, BIG-IP, Kubernetes",High
Rapid7 (RPD),Cybersecurity,2000,2613,$192M,$15M,1.10%,85%,"5,435,040","163,708,699","167,801,417","171,996,452","176,296,363","180,703,772","185,221,367","189,851,901","194,598,199","199,463,153","204,449,732","209,560,976","214,800,000","AWS, InsightCloud, Metasploit, Jira",High
Qualys (QLYS),Cybersecurity,1999,1055,$120M,$20M,30.60%,95%,"2,194,400","125,506,192","128,643,847","131,859,943","135,156,442","138,535,353","141,998,736","145,548,705","149,187,422","152,917,108","156,740,036","160,658,537","164,675,000","AWS, Enterprise TruRisk Platform, cloud agents",High
Tenable Holdings (TENB),Cybersecurity,2002,1995,$224M,$15M,-2.00%,85%,"4,149,600","171,482,576","175,769,640","180,163,881","184,667,978","189,284,678","194,016,795","198,867,215","203,838,895","208,934,867","214,158,239","219,512,195","225,000,000","AWS, Nessus, Tenable One, Hexa AI",High
Varonis Systems (VRNS),Cybersecurity,2005,2500,$210M,$20M,-5.00%,90%,"5,200,000","125,364,501","127,871,791","130,429,227","133,037,812","135,698,568","138,412,539","141,180,790","144,004,406","146,884,494","149,822,184","152,818,627","155,875,000","AWS, Azure, GCP, Athena AI, Salesforce, ServiceNow",High
Gen Digital (GEN),Cybersecurity,1982,3500,$564M,$80M,24.00%,98%,"7,280,000","945,009,071","963,909,252","983,187,437","1,002,851,186","1,022,908,210","1,043,366,374","1,064,233,702","1,085,518,376","1,107,228,743","1,129,373,318","1,151,960,784","1,175,000,000","AWS, Norton, LifeLock, Avast platform, e-commerce stack",High
NetScout Systems (NTCT),Cybersecurity,1984,2073,$160M,$15M,-30.00%,40%,"4,311,840","184,418,605","186,262,791","188,125,419","190,006,673","191,906,740","193,825,807","195,764,065","197,721,706","199,698,923","201,695,912","203,712,871","205,750,000","Arbor, nGeniusONE, Omnis Cyber Investigator, packet systems",Medium
KnowBe4 (KNBE),Cybersecurity,2010,2356,$86M,$15M,8.00%,95%,"4,900,480","85,787,527","88,361,152","91,011,987","93,742,347","96,554,617","99,451,255","102,434,793","105,507,837","108,673,072","111,933,264","115,291,262","118,750,000","AWS, Ruby on Rails, PostgreSQL, React",High
Cloudflare (NET),Cybersecurity,2009,5156,$491M,$350M,-4.70%,100%,"10,724,480","391,913,543","403,670,949","415,781,077","428,254,510","441,102,145","454,335,209","467,965,266","482,004,223","496,464,350","511,358,281","526,699,029","542,500,000","AWS, Go, Rust, Kubernetes, Workers",High
Verint Systems (VRNT),Cybersecurity,1994,3800,$130M,$20M,2.00%,70%,"7,904,000","127,868,566","131,704,623","135,655,762","139,725,434","143,917,198","148,234,713","152,681,755","157,262,207","161,980,074","166,839,476","171,844,660","177,000,000","AWS, Azure, AI/ML analytics platform, Salesforce",Medium
PayPal Holdings (PYPL),FinTech,1998,23800,$3317M,$800M,15.80%,100%,"49,504,000","7,040,203,303","7,145,806,353","7,252,993,448","7,361,788,350","7,472,215,175","7,584,298,403","7,698,062,879","7,813,533,822","7,930,736,829","8,049,697,882","8,170,443,350","8,293,000,000","AWS, GCP, Java, Kubernetes, Kafka",High
Block Inc (XYZ),FinTech,2009,8000,$2519M,$150M,10.00%,100%,"16,640,000","4,604,405,899","4,696,494,017","4,790,423,897","4,886,232,375","4,983,957,023","5,083,636,163","5,185,308,886","5,289,015,064","5,394,795,365","5,502,691,273","5,612,745,098","5,725,000,000","AWS, GCP, Java, Kotlin, Kubernetes, Cash App platform",High
SoFi Technologies (SOFI),FinTech,2011,6100,$648M,$80M,13.30%,100%,"12,688,000","652,527,018","672,102,829","692,265,913","713,033,891","734,424,908","756,457,655","779,151,384","802,525,926","826,601,704","851,399,755","876,941,748","903,250,000","AWS, Galileo platform, Technisys, Kubernetes",High
Coinbase Global (COIN),FinTech,2012,4951,$1600M,$100M,18.10%,100%,"10,298,080","1,383,935,625","1,411,614,337","1,439,846,624","1,468,643,556","1,498,016,427","1,527,976,756","1,558,536,291","1,589,707,017","1,621,501,157","1,653,931,180","1,687,009,804","1,720,750,000","AWS, Go, Ethereum, Ruby on Rails, Kubernetes",High
Affirm Holdings (AFRM),FinTech,2012,2206,$590M,$192M,1.60%,100%,"4,588,480","523,562,231","544,504,720","566,284,909","588,936,305","612,493,757","636,993,508","662,473,248","688,972,178","716,531,065","745,192,308","775,000,000","806,000,000","AWS, Python, React, Kubernetes",High
Robinhood Markets (HOOD),FinTech,2013,3800,$700M,$50M,38.00%,100%,"7,904,000","441,000,000","486,000,000","467,000,000","471,000,000","618,000,000","682,000,000","635,000,000","1,010,000,000","927,000,000","989,000,000","1,270,000,000","1,450,000,000","AWS, Python, React Native, Kubernetes",High
Upstart Holdings (UPST),FinTech,2012,1300,$220M,$15M,5.20%,100%,"2,704,000","112,860,000","117,990,000","133,380,000","148,770,000","127,794,000","127,630,000","162,140,000","216,436,000","213,371,000","257,291,000","277,105,000","296,000,000","AWS, Python, TensorFlow, AI lending models",High
Toast Inc (TOST),FinTech,2011,6500,$800M,$110M,5.60%,85%,"13,520,000","999,217,868","1,039,186,583","1,080,754,046","1,123,984,208","1,168,943,576","1,215,701,319","1,264,329,372","1,314,902,547","1,367,498,649","1,422,198,595","1,479,086,538","1,538,250,000","AWS, Kafka, Java, React, POS hardware/software stack",High
Marqeta Inc (MQ),FinTech,2010,700,$63M,$10M,-2.00%,100%,"1,456,000","162,281,040","169,042,750","169,042,750","175,804,460","117,968,000","125,270,000","127,967,000","135,795,000","139,073,000","150,392,000","163,306,000","176,000,000","AWS, Java, card issuing APIs, Kubernetes",Medium
Shift4 Payments (FOUR),FinTech,1999,6300,$376M,$120M,8.00%,70%,"13,104,000","550,492,964","583,522,542","618,533,894","655,645,928","694,984,684","736,683,765","780,884,791","827,737,878","877,402,151","930,046,280","985,849,057","1,045,000,000","AWS, .NET, payment gateway stack, POS hardware/software",Medium
Jack Henry & Associates (JKHY),FinTech,1976,7300,$238M,$90M,17.50%,60%,"15,184,000","496,017,090","516,684,468","516,684,468","537,351,847","529,801,920","554,636,385","571,192,695","559,912,000","563,173,120","589,571,860","607,171,020","615,372,000","AWS, Azure, SilverLake, Symitar, Banno Digital Platform",High
ServiceNow Inc (NOW),Enterprise Tech,2004,29187,$2700M,$600M,13.50%,95%,"60,708,960","2,133,606,557","2,153,278,689","2,153,278,689","2,443,801,653","2,603,000,000","2,627,000,000","2,627,000,000","2,957,000,000","3,088,000,000","3,215,000,000","3,407,000,000","3,577,000,000","AWS, Azure, GCP, Java, AngularJS, Now Platform",High
Workday Inc (WDAY),Enterprise Tech,2005,21000,$1900M,$250M,7.30%,92%,"43,680,000","1,920,178,006","1,958,581,566","1,997,753,197","2,037,708,261","2,078,462,426","2,120,031,675","2,162,432,308","2,205,680,955","2,249,794,574","2,294,790,465","2,340,686,275","2,387,500,000","AWS, GCP, Java, Workday Extend, Object Management Server",High
Salesforce Inc (CRM),Enterprise Tech,1999,76453,$5761M,$658M,19.00%,90%,"159,022,240","8,023,873,874","8,365,315,315","8,536,036,036","9,218,918,919","8,906,500,000","9,285,500,000","9,475,000,000","10,233,000,000","9,750,000,000","10,140,000,000","10,259,000,000","11,001,000,000","AWS, Java, Apex, Lightning Platform, Heroku, Agentforce AI",High
Adobe Inc (ADBE),Enterprise Tech,1982,31360,$4290M,$179M,30.00%,88%,"65,228,800","4,529,045,368","4,642,271,502","4,758,328,290","4,877,286,497","4,999,218,659","5,124,199,126","5,252,304,104","5,383,611,707","5,518,201,999","5,656,157,049","5,797,560,976","5,942,500,000","AWS, Azure, Creative Cloud, Firefly AI, C++, Python",High
Atlassian Corp (TEAM),Enterprise Tech,2002,13813,$2670M,$80M,-4.90%,98%,"28,731,040","846,891,140","880,766,785","915,997,457","952,637,355","990,742,849","1,030,372,563","1,071,587,465","1,114,450,964","1,159,029,003","1,205,390,163","1,253,605,769","1,303,750,000","AWS, Java, Jira, Confluence, Kubernetes",High
HubSpot Inc (HUBS),Enterprise Tech,2006,8882,$906M,$20M,1.50%,95%,"18,474,560","559,876,489","576,672,784","593,972,968","611,792,157","630,145,921","649,050,299","668,521,808","688,577,462","709,234,786","730,511,830","752,427,184","775,000,000","AWS, HubSpot CRM Platform, React, Java",High
Oracle Corporation (ORCL),Enterprise Tech,1977,162000,$9860M,$21220M,21.70%,86%,"336,960,000","12,182,191,897","12,364,924,775","12,550,398,647","12,738,654,627","12,929,734,446","13,123,680,463","13,320,535,670","13,520,343,705","13,723,148,860","13,928,996,093","14,137,931,034","14,350,000,000","OCI, Java, Oracle Database, Exadata, AI infrastructure",High
Dropbox Inc (DBX),Enterprise Tech,2007,4149,$732M,$21M,20.20%,100%,"8,629,920","622,622,179","622,622,179","625,122,669","630,123,651","631,300,000","634,500,000","638,800,000","643,600,000","624,700,000","625,700,000","634,400,000","640,000,000","AWS, Python, Go, Rust, Dash AI",High
Box Inc (BOX),Enterprise Tech,2005,2170,$265M,$15M,7.40%,98%,"4,513,600","236,705,269","241,439,374","246,268,162","251,193,525","256,217,395","261,341,743","266,568,578","271,899,950","277,337,949","282,884,708","288,542,402","294,313,250","AWS, Box AI, Python, Java, Kubernetes",High
Dynatrace Inc (DT),Enterprise Tech,2005,5200,$482M,$32M,8.40%,95%,"10,816,000","313,422,799","325,959,711","338,998,100","352,558,024","366,660,345","381,326,759","396,579,829","412,443,022","428,940,743","446,098,373","463,942,308","482,500,000","AWS, Azure, GCP, Java, AI observability platform",High
RingCentral Inc (RNG),Enterprise Tech,1999,4429,$329M,$20M,1.70%,100%,"9,212,320","551,463,198","558,080,757","564,777,726","571,555,059","578,413,719","585,354,684","592,378,940","599,487,487","606,681,337","613,961,513","621,329,051","628,785,000","AWS, RingEX, RingSense AI, Java, Kubernetes",High
monday.com Ltd (MNDY),Enterprise Tech,2012,3155,$231M,$15M,9.60%,100%,"6,562,400","167,831,000","175,128,000","182,425,000","204,316,000","237,736,190","241,338,254","251,587,302","241,338,254","278,928,000","302,172,000","317,000,000","333,900,000","AWS, GCP, Kubernetes, AI work platform",High
Confluent Inc (CFLT),Enterprise Tech,2014,3600,$350M,$25M,-8.00%,95%,"7,488,000","199,490,439","206,472,604","213,699,146","221,178,616","228,919,867","236,932,063","245,224,685","253,807,549","262,690,813","271,884,991","281,400,966","291,250,000","AWS, Apache Kafka, Java, Scala, Kubernetes",High
GitLab Inc (GTLB),Enterprise Tech,2014,2200,$306M,$5M,-2.60%,100%,"4,576,000","90,925,951","97,290,768","104,101,121","111,388,200","124,261,210","132,959,494","142,266,659","152,225,325","204,682,815","219,010,612","234,341,355","250,745,250","AWS, GCP, Ruby on Rails, Go, Kubernetes",High
Procore Technologies (PCOR),Enterprise Tech,2002,4421,$291M,$15M,-2.50%,95%,"9,195,680","226,460,177","234,386,283","242,589,803","251,080,446","259,868,261","268,963,651","278,377,378","288,120,587","298,204,807","308,641,975","319,444,444","330,625,000","AWS, Ruby on Rails, React, Construction OS platform",High
Pinterest Inc (PINS),Consumer Tech,2010,5265,$675M,$40M,7.90%,100%,"10,951,200","733,305,689","762,637,916","793,143,433","824,869,170","875,185,640","910,193,066","946,600,788","984,464,820","1,013,346,582","1,053,880,446","1,096,035,663","1,139,877,090","AWS, GCP, Java, React Native, visual search AI",High
Snap Inc (SNAP),Consumer Tech,2011,5261,$1186M,$110M,-7.80%,100%,"10,942,880","1,127,578,766","1,161,406,129","1,196,248,313","1,232,135,762","1,312,472,342","1,351,846,512","1,392,401,908","1,434,173,965","1,452,020,562","1,495,581,179","1,540,448,614","1,586,662,072","AWS, GCP, Snap AR/Lens platform, Swift, Kotlin",High
Match Group Inc (MTCH),Consumer Tech,2009,2600,$488M,$60M,15.00%,100%,"5,408,000","845,206,920","849,432,955","853,680,119","857,948,520","874,063,499","878,433,816","882,825,985","887,240,115","876,028,988","880,409,133","884,811,179","889,235,235","AWS, GCP, iOS/Android native, Tinder/Hinge/Match platforms",Medium
